epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,121.109,1.38271,3.38436,2.43473,1.51487,0,0.01388,0.98649,0.65762,0.33009,0.01198,0.85135,0.44786,0.17436,1.36274,4.92071,2.62737,1.5302,0,0.000651852,0.000651852,0.000651852
2,240.402,1.07148,2.0907,1.48719,1.24783,0,0.80365,0.87162,0.93417,0.70674,0.80365,0.87162,0.93417,0.56665,0.82738,3.35515,1.50364,1.14585,0,0.00127501,0.00127501,0.00127501
3,360.51,0.9778,1.90515,1.18039,1.14671,0,0.79893,0.83226,0.81974,0.52065,0.79244,0.82551,0.81177,0.40307,1.08214,3.74725,1.94091,1.41847,0,0.00185416,0.00185416,0.00185416
4,488.518,0.96178,1.77261,1.1094,1.16392,0,0.95745,0.89865,0.97048,0.71835,0.95745,0.89865,0.97005,0.6537,0.92361,1.95468,1.35169,1.28003,0,0.001802,0.001802,0.001802
5,611.793,0.83275,1.52885,0.90319,1.09116,0,0.99555,0.97297,0.9944,0.82391,0.99555,0.97297,0.9944,0.74854,0.68539,1.55417,0.87072,0.96138,0,0.001736,0.001736,0.001736
6,730.965,0.73778,1.38326,0.80545,1.02311,0,0.99702,1,0.995,0.8711,0.99702,1,0.995,0.76973,0.6099,1.38814,0.76772,0.94077,0,0.00167,0.00167,0.00167
7,847.516,0.666,1.21127,0.68995,0.99495,0,1,0.963,0.99422,0.83384,1,0.963,0.99422,0.80321,0.66497,1.22035,0.7824,0.96723,0,0.001604,0.001604,0.001604
8,964.006,0.6664,1.19463,0.67089,0.98466,0,0.99766,1,0.995,0.86778,0.99766,1,0.995,0.84323,0.54238,1.12345,0.64661,0.87463,0,0.001538,0.001538,0.001538
9,1080.7,0.61348,1.0908,0.60917,0.95537,0,0.9991,1,0.995,0.86804,0.9991,1,0.995,0.83758,0.52312,0.94085,0.57524,0.88572,0,0.001472,0.001472,0.001472
10,1196.87,0.58146,1.0343,0.60009,0.97103,0,0.99854,1,0.995,0.94583,0.99854,1,0.995,0.87693,0.34848,0.88699,0.58783,0.78146,0,0.001406,0.001406,0.001406
11,1312.88,0.58105,0.95695,0.55624,0.95313,0,0.99094,1,0.995,0.91748,0.99094,1,0.995,0.8922,0.41111,0.80478,0.55815,0.80174,0,0.00134,0.00134,0.00134
12,1428.95,0.52454,0.94023,0.52658,0.9419,0,0.99926,1,0.995,0.94662,0.99926,1,0.995,0.90677,0.32993,0.66586,0.4558,0.78635,0,0.001274,0.001274,0.001274
13,1544.79,0.49144,0.85713,0.48591,0.9258,0,0.99836,1,0.995,0.95097,0.99836,1,0.995,0.90162,0.33328,0.70203,0.45274,0.7813,0,0.001208,0.001208,0.001208
14,1661.77,0.49577,0.86125,0.47372,0.92084,0,1,0.98592,0.995,0.96304,1,0.98592,0.995,0.91344,0.34071,0.68613,0.44236,0.77202,0,0.001142,0.001142,0.001142
15,1778.28,0.47112,0.77484,0.43159,0.90984,0,0.99961,1,0.995,0.92741,0.99961,1,0.995,0.9277,0.32263,0.54843,0.36855,0.76701,0,0.001076,0.001076,0.001076
16,1895.24,0.47998,0.79085,0.44081,0.92085,0,0.99949,1,0.995,0.96833,0.99949,1,0.995,0.92405,0.30188,0.53619,0.38249,0.76704,0,0.00101,0.00101,0.00101
17,2012.27,0.4473,0.78907,0.41354,0.90896,0,0.99951,1,0.995,0.98458,0.99951,1,0.995,0.92867,0.22549,0.53992,0.3308,0.74328,0,0.000944,0.000944,0.000944
18,2129.45,0.4314,0.71567,0.38767,0.90195,0,0.99961,1,0.995,0.96978,0.99961,1,0.995,0.94568,0.26996,0.48669,0.31135,0.7526,0,0.000878,0.000878,0.000878
19,2247.59,0.4157,0.68044,0.36833,0.89813,0,0.99953,1,0.995,0.97472,0.99953,1,0.995,0.95562,0.23272,0.45156,0.33382,0.73895,0,0.000812,0.000812,0.000812
20,2367.2,0.37646,0.64477,0.33879,0.87296,0,0.99962,1,0.995,0.98801,0.99962,1,0.995,0.97111,0.21026,0.38528,0.24627,0.73663,0,0.000746,0.000746,0.000746
21,2498.07,0.30787,0.54963,0.40614,0.84458,0,0.99959,1,0.995,0.97917,0.99959,1,0.995,0.95722,0.22245,0.41986,0.29428,0.73581,0,0.00068,0.00068,0.00068
22,2612.44,0.29093,0.47048,0.33822,0.82768,0,0.99927,1,0.995,0.97452,0.99927,1,0.995,0.97456,0.25097,0.38718,0.25457,0.74351,0,0.000614,0.000614,0.000614
23,2725.96,0.28316,0.43667,0.31036,0.82002,0,0.99942,1,0.995,0.97782,0.99942,1,0.995,0.97645,0.23241,0.37403,0.23262,0.73932,0,0.000548,0.000548,0.000548
24,2841.69,0.26209,0.40929,0.27592,0.81847,0,0.99956,1,0.995,0.9859,0.99956,1,0.995,0.97337,0.18306,0.33752,0.21366,0.7318,0,0.000482,0.000482,0.000482
25,2957.67,0.24824,0.36544,0.25652,0.81597,0,0.99963,1,0.995,0.99114,0.99963,1,0.995,0.98517,0.1786,0.30362,0.18807,0.72632,0,0.000416,0.000416,0.000416
26,3070.43,0.24872,0.36449,0.25042,0.81909,0,0.99963,1,0.995,0.99266,0.99963,1,0.995,0.9771,0.19252,0.29563,0.21058,0.7258,0,0.00035,0.00035,0.00035
27,3183.15,0.22723,0.33707,0.24306,0.81461,0,0.99963,1,0.995,0.99284,0.99963,1,0.995,0.99058,0.16254,0.27136,0.19521,0.72237,0,0.000284,0.000284,0.000284
28,3294.95,0.2019,0.31793,0.22788,0.81415,0,0.99964,1,0.995,0.9878,0.99964,1,0.995,0.9858,0.18514,0.2633,0.19485,0.72869,0,0.000218,0.000218,0.000218
29,3407.59,0.19147,0.30181,0.21333,0.79667,0,0.99963,1,0.995,0.98984,0.99963,1,0.995,0.98353,0.15827,0.25138,0.17233,0.72305,0,0.000152,0.000152,0.000152
30,3522.64,0.18608,0.29716,0.21226,0.79899,0,0.99964,1,0.995,0.995,0.99964,1,0.995,0.99035,0.14045,0.23729,0.1566,0.71752,0,8.6e-05,8.6e-05,8.6e-05
